datasource;dayofservice;tripid;progrnumber;stoppointid;plannedtime_arr;plannedtime_dep;actualtime_arr;actualtime_dep;vehicleid;passengers;passengersin;passengersout;distance;suppressed;justificationid;lastupdate;note
DB;27-MAR-17 00:00:00;4524475;21;1212;76484;76484;76450;76450;1000768;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4524475;26;1217;76587;76587;76547;76560;1000768;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4524475;31;1273;76884;76884;76947;76969;1000768;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4534700;8;2672;54636;54636;54666;54684;1000494;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4534700;13;2675;55264;55264;55301;55329;1000494;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4534700;18;2128;55476;55476;55563;55690;1000494;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4534700;23;4409;55941;55941;56228;56270;1000494;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4534700;28;2619;56478;56478;57000;57013;1000494;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4534700;33;4347;56809;56809;57644;57674;1000494;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533402;4;5007;55443;55443;55281;55281;1000870;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533402;9;2673;55896;55896;55650;55650;1000870;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533402;14;2124;56504;56504;56157;56174;1000870;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4533402;19;2129;56767;56767;56353;56365;1000870;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529324;1;4320;65400;65400;65330;65330;2534856;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529324;5;1479;65900;65900;65808;65836;2534856;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529324;10;842;66907;66907;66585;66607;2534856;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4529324;15;2795;67326;67326;66929;66980;2534856;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527478;28;2027;49528;49528;49763;49763;1000865;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527478;33;2032;49837;49837;50120;50132;1000865;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4527478;38;2039;50149;50149;50361;50361;1000865;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4520723;5;7360;49813;49813;49899;49919;1000487;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4526980;43;2183;65837;65837;66615;66615;1001142;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4526980;48;2186;66107;66107;66845;66845;1001142;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4526980;53;3952;66347;66347;67094;67094;1001142;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4526980;57;2380;66609;66609;67311;67311;1001142;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4526980;62;1358;67171;67171;67813;67841;1001142;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4526980;67;353;67804;67804;68325;68343;1001142;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4521094;4;4932;61464;61464;61320;61320;1000171;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4521094;9;2357;61690;61690;61541;61569;1000171;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4521094;14;2570;62006;62006;61802;61823;1000171;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4521094;19;4646;62467;62467;62270;62311;1000171;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4522872;26;5028;57585;57585;57822;57835;1932322;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4522872;32;3885;57949;57949;58323;58323;1932322;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4522872;37;1634;58133;58133;58466;58466;1932322;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4522872;42;1639;58448;58448;58791;58804;1932322;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4522872;47;213;58845;58845;59155;59186;1932322;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4522872;52;7603;59064;59064;59355;59380;1932322;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4522872;57;49;59354;59354;59619;59658;1932322;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4535361;1;4843;61500;61500;61455;61455;1000860;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4520197;21;7196;28155;28155;28096;28096;1000140;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4520197;26;7397;30451;30451;29538;29553;1000140;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4520197;31;1283;30804;30804;30140;30157;1000140;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4520197;36;1018;31343;31343;30656;30666;1000140;;;;;;;09-APR-17 09:00:06;
DB;27-MAR-17 00:00:00;4520197;41;6042;31552;31552;30880;30880;1000140;;;;;;;09-APR-17 09:00:06;
